Date,^GSPC,GLD,USO,GLD-USO
2021-07-06,-0.01068624943430475,-0.015997962033616867,-0.02252112802910269,-0.014244712857705542
2021-07-07,-0.010252061544056118,-0.01566470017854763,-0.028048449053739207,-0.014663507370328833
2021-07-08,-0.009629425915520963,-0.015270271421266869,-0.0324762331610313,-0.015528611294031262
2021-07-09,-0.012706023808480855,-0.014843181930768178,-0.029648934482203255,-0.015318396903115986
2021-07-12,-0.013959689389007907,-0.014297808157644443,-0.02864652877578503,-0.015495834954361631
2021-07-13,-0.011926889040719823,-0.013794505833802168,-0.026130006160931144,-0.014904552218077655
2021-07-14,-0.011412938848795264,-0.013227298637761892,-0.02598351798991318,-0.014911606258683582
2021-07-15,-0.010272900387894973,-0.01417497952314271,-0.034289365294355965,-0.01534596012149835
2021-07-16,-0.010359533794831222,-0.013636913396297282,-0.032665605652838665,-0.015249429572593296
2021-07-19,-0.012297136129772908,-0.015263084163443191,-0.029225565584613068,-0.014881197796666313
2021-07-20,-0.018916836181662455,-0.014653854051499826,-0.06298323991070343,-0.024222650482389488
2021-07-21,-0.019062850620087807,-0.01326512667588924,-0.053657156677057866,-0.02168743856850697
2021-07-22,-0.01599110868998938,-0.013276831672000852,-0.053980639434796335,-0.021720718604365096
2021-07-23,-0.01291136228386738,-0.01206837350057183,-0.047811277144783317,-0.020455977933029605
2021-07-26,-0.01349394832249324,-0.01189657787956235,-0.04071043339944629,-0.018784227227515937
2021-07-27,-0.011392457320823468,-0.011574024441473622,-0.034235463094896446,-0.017515475264272874
2021-07-28,-0.011514641758537766,-0.011237835682802625,-0.02796351996934495,-0.016506155717020465
2021-07-29,-0.010314884944755515,-0.01697267620008556,-0.025126212780699944,-0.015728073886319534
2021-07-30,-0.0098789813234543,-0.017188774591895026,-0.02828996881807628,-0.01689070976810893
2021-08-02,-0.011087619301025756,-0.01721663817986345,-0.025865975369675494,-0.016218233510839602
2021-08-03,-0.010354548772420204,-0.017219425608312203,-0.038152199893128416,-0.017819845840430656
2021-08-04,-0.011533810150252214,-0.017228931818296937,-0.032772824403298616,-0.016928949561936444
2021-08-05,-0.011495471977874268,-0.017233952980301642,-0.044007438052275104,-0.01900329771322184
2021-08-06,-0.011114715029266777,-0.017237201287124897,-0.03901578552985056,-0.018079779987799065
2021-08-09,-0.010006805505816549,-0.01820570913675913,-0.034769878328488844,-0.02007286988573953
2021-08-10,-0.009515084599990065,-0.014483058977962862,-0.03638964797817202,-0.021607215237237416
2021-08-11,-0.008923259938080717,-0.017599933275427027,-0.03654142643196599,-0.020498263931815426
2021-08-12,-0.008647962169869926,-0.017599932500417487,-0.03270603096565795,-0.020001288401173864
2021-08-13,-0.008860092708011852,-0.017599956657705234,-0.02912706377690685,-0.01828738031407794
2021-08-16,-0.008437983275983357,-0.01760051726666711,-0.0304269651973072,-0.01695475449955889
2021-08-17,-0.008167138599513193,-0.017600888230917423,-0.028972111724725254,-0.015848812468703337
2021-08-18,-0.010838641773942026,-0.017240802296191515,-0.028719777292822816,-0.015607176559619688
2021-08-19,-0.014523903896360761,-0.017240802296191515,-0.036517689917374405,-0.017031932777060662
2021-08-20,-0.011916518280300156,-0.017240802296190783,-0.0339091768093736,-0.016925982175527453
2021-08-23,-0.012148648764277901,-0.01724080229619123,-0.04178778632765559,-0.01841818544551853
2021-08-24,-0.012458524642618459,-0.017240802296193836,-0.061852849195343174,-0.026845550403692207
2021-08-25,-0.01088784755529092,-0.017240802296191515,-0.052113221878333275,-0.024290243948283448
2021-08-26,-0.009989679984134718,-0.0172408022961619,-0.03796978880606252,-0.020574024792047847
2021-08-27,-0.010949916190193008,-0.017245483388276108,-0.03182359651812108,-0.01843570794787443
